id_venta,fecha,id_producto,producto,categoria,region,sucursal,precio,cantidad
V0191,03/14/2023,P-3002,Ensalada César,Alimentos, NORTE,CH-02,75.97,12
V0146,19-07-2023,P-4002,Galletas,Snacks,centro,CH-01,14.74,2
V0169,12/01/2023,P-5002,Taza logo,Merchandising,Nte ,MX-11,97.65,10
V0211,15/10/2023,P-1004,Jugo de naranja,Bebidas,occidente,QRO-07,38.18,4
V0056,11/17/2024,P-1001,Café americano,Bebidas,Occidente,CH-02,30.29,
V0066,22/04/2023,P-2001,Croissant,Panadería,Nte,CH-02,21.40,5
V0026,20/09/2023,P-3003,Wrap vegetariano,Alimentos,Norte,CH-02,63.57,4
V0015,20/11/2023,P-3003,Wrap vegetariano,Alimentos, S ,QRO-07,66.28,6
V0206,23/07/2024,P-2003,Bagel,Panadería,sur,CH-02,25.31,5
V0184,07/08/2024,P-2001,Croissant,Panadería,Norte,CH-02,23.69,6
V0160,04/10/2023,P-1001,Café americano,Bebidas,sur,CH-01,32.88,3
V0161,08/01/2024,P-2002,Muffin de chocolate,Panadería,Occidente,CH-01,45000,10
V0177,03/09/2023,P-1001,Café americano,Bebidas,occidente,QRO-07,31.36,1
V0137,07/06/2023,P-1001,Café americano,Bebidas,occidente,CH-01,30.34,9
V0212,2024-11-25,P-4002,Galletas,Snacks,norte,CH-02,15.24,5
V0100,08/05/2023,P-2001,Croissant,Panadería,Sur,MX-11,23.29,8
V0067,04/03/2023,P-4002,Galletas,Snacks,Occidente,PUE-03,15.91,3
V0059,09/06/2024,P-3002,Ensalada César,Alimentos,occidente,MX-11,67.71,9
V0090,12/12/2023,P-2003,Bagel,Panadería,S,MX-11,23.37,2
V0065,07/01/2024,P-1002,Café latte,Bebidas,centro,MX-11,48.31,7
V0136,11/06/2024,P-2001,Croissant,Panadería,S,QRO-07,21.74,3
V0140,19/07/2024,P-2003,Bagel,Panadería,Ctro ,PUE-03,24.94,6
V0187,25/04/2023,P-3003,Wrap vegetariano,Alimentos,norte,PUE-03,66.41,2
V0105,2023-08-27,P-2002,Muffin de chocolate,Panadería,occidente,GDL-02,28.02,9
V0043,2024-02-17,P-1002,Café latte,Bebidas,Oeste,CH-01,47.47,10
V0123,11/10/2023,P-4001,Barra de granola,Snacks,Centro,GDL-02,17.35,5
V0119,09/21/2024,P-1004,Jugo de naranja,Bebidas,Sur,GDL-02,40.24,7
V0021,25-03-2023,P-1004,Jugo de naranja,Bebidas,Ctro ,CH-01,37.29,5
V0193,22/09/2024,P-1001,Café americano,Bebidas,Ctro ,CH-02,30.40,12
V0076,10/01/2023,P-3003,Wrap vegetariano,Alimentos,Ctro ,MX-11,63.89,1
V0089,,P-4003,Papas,Snacks,Nte,CH-01,20.79,12
V0141,31/03/2023,P-3003,Wrap vegetariano,Alimentos,,MX-11,65.61,1
V0047,01/07/2024,P-5002,Taza logo,Merchandising,Occidente,MX-11,97.55,1
V0189,14/02/2024,P-3001,Sándwich de pavo,Alimentos,Ctro,PUE-03,,10
V0165,16/10/2023,P-3003,Wrap vegetariano,Alimentos,Nte,MX-11,68.87,2
V0022,01/11/2024,P-2003,Bagel,Panadería,occidente,MX-11,24.90,3
V0114,25/06/2023,P-1004,Jugo de naranja,Bebidas,occidente,CH-01,39.85,10
V0054,2024-01-13,P-1001,Café americano,Bebidas,Nte,GDL-02,33.62,12
V0011,21/03/2024,P-5002,Taza logo,Merchandising,centro,CH-01,92.39,5
V0109,18-11-2023,P-2002,Muffin de chocolate,Panadería,Occidente,GDL-02,26.98,8
V0144,28-11-2024,P-2003,Bagel,Panadería,Centro,GDL-02,24.11,6
V0051,22/09/24,P-1002,Café latte,Bebidas,Sur,GDL-02,41.52,8
V0163,29/03/2024,P-3001,Sándwich de pavo,Alimentos, S ,CH-02,60.14,7
V0088,03/07/2023,P-4003,Papas,Snacks,norte,MX-11,20.94,6
V0028,13/11/2024,P-4001,Barra de granola,Snacks,norte,CH-01,17.35,1
V0051,22/09/24,P-1002,Café latte,Bebidas,Sur,GDL-02,41.52,8
V0060,2023-04-12,P-2002,Muffin de chocolate,Panadería, S ,PUE-03,26.91,9
V0029,17/06/2023,P-4003,Papas,Snacks,Nte,GDL-02,19.68,500
V0196,2024-03-21,P-3001,Sándwich de pavo,Alimentos,centro,CH-02,70.14,12
V0093,23-04-2024,P-2003,Bagel,Panadería,centro,CH-02,22.48,8
V0025,2024-04-24,P-5001,Termo 350 ml,Merchandising,norte,MX-11,174.97,1
V0050,03/05/2024,P-3001,Sándwich de pavo,Alimentos,centro,QRO-07,66.16,11
V0156,2023-10-07,P-2001,Croissant,Panadería,Nte,PUE-03,22.35,1
V0118,27/11/2024,P-3001,Sándwich de pavo,Alimentos,Ctro ,MX-11,69.84,9
V0082,25/01/2023,P-3002,Ensalada César,Alimentos,Ctro,MX-11,73.14,8
V0098,30/10/2024,P-4002,Galletas,Snacks,centro,PUE-03,15.85,7
V0085,2023-03-04,P-5001,Termo 350 ml,Merchandising, NORTE,PUE-03,190.74,9
V0010,27-05-2023,P-4001,Barra de granola,Snacks,,GDL-02,19.42,6
V0133,22-09-2024,P-3002,Ensalada César,Alimentos,Occidente,MX-11,69.93,4
V0096,30/08/2024,P-2001,Croissant,Panadería,occidente,CH-02,22.24,6
V0213,08/07/2024,P-3003,Wrap vegetariano,Alimentos,Nte ,QRO-07,70.18,1
